"Name_name","Name_url","Name_Program","Name_discrption","Name_discrption_url"
"»","https://www.scholars4dev.com/category/scholarships-list/","","",""
"1","https://www.scholars4dev.com/#section13300","","",""
"2","https://www.scholars4dev.com/#section8319","","",""
"3","https://www.scholars4dev.com/#section13233","","",""
"4","https://www.scholars4dev.com/#section11939","","",""
"5","https://www.scholars4dev.com/#section8647","","",""
"6","https://www.scholars4dev.com/#section8874","","",""
"7","https://www.scholars4dev.com/#section6179","","",""
"8","https://www.scholars4dev.com/#section6499","","",""
"9","https://www.scholars4dev.com/#section8801","","",""
"10","https://www.scholars4dev.com/#section4031","","",""
"Nottingham Developing Solutions Scholarships","https://www.scholars4dev.com/2763/developing-solutions-master-scholarships-at-university-of-nottingham/","University of Nottingham
Masters (MS) Degree","Deadline: 20 May 2022 (annual)
Study in: UK
Course starts September 2022",""
"Read More","https://www.scholars4dev.com/2763/developing-solutions-master-scholarships-at-university-of-nottingham/","","Read More","https://www.scholars4dev.com/2763/developing-solutions-master-scholarships-at-university-of-nottingham/"
"Leiden University Excellence Scholarships (LexS)","https://www.scholars4dev.com/1429/leiden-university-excellence-scholarship-for-non-eu-students/","Leiden University
Masters Degree","Deadline: 1 Feb/1 Oct (annual)
Study in: Netherlands
Next course starts Sept 2021/Feb 2022",""
"Read More","https://www.scholars4dev.com/1429/leiden-university-excellence-scholarship-for-non-eu-students/","","Read More","https://www.scholars4dev.com/1429/leiden-university-excellence-scholarship-for-non-eu-students/"
"Maastricht University Holland High Potential Scholarships for International Students","https://www.scholars4dev.com/2808/scholarships-for-high-potential-international-students-at-maastricht-university/","Maastricht University
Masters Degree","Deadline: 1 Feb 2022 (annual)
Study in: Netherlands
Course starts September 2022",""
"Read More","https://www.scholars4dev.com/2808/scholarships-for-high-potential-international-students-at-maastricht-university/","","Read More","https://www.scholars4dev.com/2808/scholarships-for-high-potential-international-students-at-maastricht-university/"
"Oxford Pershing Square Graduate Scholarships","https://www.scholars4dev.com/13195/oxford-perishing-square-graduate-scholarships/","Pershing Square Foundation
MBA/Masters Degree","Deadline: 12/21 Jan 2022 (annual)
Study in: UK
Course starts September 2022",""
"Read More","https://www.scholars4dev.com/13195/oxford-perishing-square-graduate-scholarships/","","Read More","https://www.scholars4dev.com/13195/oxford-perishing-square-graduate-scholarships/"
"Justus & Louise van Effen Excellence Scholarships for International Students at TU Delft","https://www.scholars4dev.com/10809/tu-delft-excellence-scholarships-for-international-students/","Delft University of Technology
Masters Degree","Deadline: 1 Dec 2021 (annual)
Study in: Netherlands
Course starts September 2022",""
"Read More","https://www.scholars4dev.com/10809/tu-delft-excellence-scholarships-for-international-students/","","Read More","https://www.scholars4dev.com/10809/tu-delft-excellence-scholarships-for-international-students/"
"Oxford-Weidenfeld and Hoffmann Scholarship and Leadership Programme","https://www.scholars4dev.com/2191/weidenfeld-scholarships-at-university-of-oxford/","University of Oxford
Masters Degree","Deadline: 7/21 Jan 2022 (annual)
Study in: UK
Course starts 2022",""
"Read More","https://www.scholars4dev.com/2191/weidenfeld-scholarships-at-university-of-oxford/","","Read More","https://www.scholars4dev.com/2191/weidenfeld-scholarships-at-university-of-oxford/"
"British Chevening Scholarships in UK for International Students","https://www.scholars4dev.com/3299/british-chevening-scholarships/","British Government/FCO
Masters Degree","Deadline: 2 Nov 2021 (annual)
Study in: UK
Course starts Sept/Oct 2022",""
"Read More","https://www.scholars4dev.com/3299/british-chevening-scholarships/","","Read More","https://www.scholars4dev.com/3299/british-chevening-scholarships/"
"Emile Boutmy Scholarships for Non-EU Students at Sciences Po","https://www.scholars4dev.com/2593/emile-boutmy-scholarships-for-non-eu-students/","Sciences Po
Bachelors/Masters Degree","Deadline: 30 Nov 2021/mid-Feb 2022 (annual)
Study in: France
Course starts September 2022",""
"Read More","https://www.scholars4dev.com/2593/emile-boutmy-scholarships-for-non-eu-students/","","Read More","https://www.scholars4dev.com/2593/emile-boutmy-scholarships-for-non-eu-students/"
"Donald A. Wehrung International Student Award","https://www.scholars4dev.com/22316/donald-a-wehrung-international-student-award/","Univ of British Columbia
Bachelor’s Degree","Deadline: 1 Dec 2021 (annual)
Study in: Canada
Course starts 2022",""
"Read More","https://www.scholars4dev.com/22316/donald-a-wehrung-international-student-award/","","Read More","https://www.scholars4dev.com/22316/donald-a-wehrung-international-student-award/"
"Read More","https://www.scholars4dev.com/2763/developing-solutions-master-scholarships-at-university-of-nottingham/","","Read More","https://www.scholars4dev.com/2763/developing-solutions-master-scholarships-at-university-of-nottingham/"
"Read More","https://www.scholars4dev.com/2763/developing-solutions-master-scholarships-at-university-of-nottingham/","","Read More","https://www.scholars4dev.com/2763/developing-solutions-master-scholarships-at-university-of-nottingham/"
"Leiden University Excellence Scholarships (LexS)","https://www.scholars4dev.com/1429/leiden-university-excellence-scholarship-for-non-eu-students/","Leiden University
Masters Degree","Deadline: 1 Feb/1 Oct (annual)
Study in: Netherlands
Next course starts Sept 2021/Feb 2022",""
"Read More","https://www.scholars4dev.com/1429/leiden-university-excellence-scholarship-for-non-eu-students/","","Read More","https://www.scholars4dev.com/1429/leiden-university-excellence-scholarship-for-non-eu-students/"
"Read More","https://www.scholars4dev.com/1429/leiden-university-excellence-scholarship-for-non-eu-students/","","Read More","https://www.scholars4dev.com/1429/leiden-university-excellence-scholarship-for-non-eu-students/"
"Read More","https://www.scholars4dev.com/1429/leiden-university-excellence-scholarship-for-non-eu-students/","","Read More","https://www.scholars4dev.com/1429/leiden-university-excellence-scholarship-for-non-eu-students/"
"Read More","https://www.scholars4dev.com/2808/scholarships-for-high-potential-international-students-at-maastricht-university/","","Read More","https://www.scholars4dev.com/2808/scholarships-for-high-potential-international-students-at-maastricht-university/"
"Read More","https://www.scholars4dev.com/2808/scholarships-for-high-potential-international-students-at-maastricht-university/","","Read More","https://www.scholars4dev.com/2808/scholarships-for-high-potential-international-students-at-maastricht-university/"
"Read More","https://www.scholars4dev.com/13195/oxford-perishing-square-graduate-scholarships/","","Read More","https://www.scholars4dev.com/13195/oxford-perishing-square-graduate-scholarships/"
"Read More","https://www.scholars4dev.com/13195/oxford-perishing-square-graduate-scholarships/","","Read More","https://www.scholars4dev.com/13195/oxford-perishing-square-graduate-scholarships/"
"Read More","https://www.scholars4dev.com/10809/tu-delft-excellence-scholarships-for-international-students/","","Read More","https://www.scholars4dev.com/10809/tu-delft-excellence-scholarships-for-international-students/"
"Read More","https://www.scholars4dev.com/10809/tu-delft-excellence-scholarships-for-international-students/","","Read More","https://www.scholars4dev.com/10809/tu-delft-excellence-scholarships-for-international-students/"
"Read More","https://www.scholars4dev.com/2191/weidenfeld-scholarships-at-university-of-oxford/","","Read More","https://www.scholars4dev.com/2191/weidenfeld-scholarships-at-university-of-oxford/"
"Read More","https://www.scholars4dev.com/2191/weidenfeld-scholarships-at-university-of-oxford/","","Read More","https://www.scholars4dev.com/2191/weidenfeld-scholarships-at-university-of-oxford/"
"Read More","https://www.scholars4dev.com/3299/british-chevening-scholarships/","","Read More","https://www.scholars4dev.com/3299/british-chevening-scholarships/"
"Read More","https://www.scholars4dev.com/3299/british-chevening-scholarships/","","Read More","https://www.scholars4dev.com/3299/british-chevening-scholarships/"
"Read More","https://www.scholars4dev.com/2593/emile-boutmy-scholarships-for-non-eu-students/","","Read More","https://www.scholars4dev.com/2593/emile-boutmy-scholarships-for-non-eu-students/"
"Read More","https://www.scholars4dev.com/2593/emile-boutmy-scholarships-for-non-eu-students/","","Read More","https://www.scholars4dev.com/2593/emile-boutmy-scholarships-for-non-eu-students/"
"Read More","https://www.scholars4dev.com/22316/donald-a-wehrung-international-student-award/","","Read More","https://www.scholars4dev.com/22316/donald-a-wehrung-international-student-award/"
"Read More","https://www.scholars4dev.com/22316/donald-a-wehrung-international-student-award/","","Read More","https://www.scholars4dev.com/22316/donald-a-wehrung-international-student-award/"
"Read More","https://www.scholars4dev.com/2269/clarendon-scholarships-at-university-of-oxford/","","Read More","https://www.scholars4dev.com/2269/clarendon-scholarships-at-university-of-oxford/"
"Read More","https://www.scholars4dev.com/2269/clarendon-scholarships-at-university-of-oxford/","","Read More","https://www.scholars4dev.com/2269/clarendon-scholarships-at-university-of-oxford/"
"Reach Oxford Scholarships for Developing Country Students","https://www.scholars4dev.com/3648/reach-oxford-undergraduate-scholarships-for-developing-country-students/","University of Oxford
Undergraduate Degree","Deadline: 15 Oct 2021/Feb 2022 (annual)
Study in: UK
Course starts October 2022",""
"Read More","https://www.scholars4dev.com/3648/reach-oxford-undergraduate-scholarships-for-developing-country-students/","","Read More","https://www.scholars4dev.com/3648/reach-oxford-undergraduate-scholarships-for-developing-country-students/"
"Read More","https://www.scholars4dev.com/3648/reach-oxford-undergraduate-scholarships-for-developing-country-students/","","Read More","https://www.scholars4dev.com/3648/reach-oxford-undergraduate-scholarships-for-developing-country-students/"
"Read More","https://www.scholars4dev.com/3648/reach-oxford-undergraduate-scholarships-for-developing-country-students/","","Read More","https://www.scholars4dev.com/3648/reach-oxford-undergraduate-scholarships-for-developing-country-students/"
"Read More","https://www.scholars4dev.com/6578/switzerland-univeristy-lausanne-scholarships-for-international-students/","","Read More","https://www.scholars4dev.com/6578/switzerland-univeristy-lausanne-scholarships-for-international-students/"
