"scholarship_name","scholarship_url","scholarship_university","scholarship_program","scholarship_deadline","scholarship_country","scholarship_Start_date"
"UCL Global Undergraduate Scholarships","https://www.scholars4dev.com/27680/ucl-global-undergraduate-scholarships/","University College London","Bachelors Degree","29 Apr 2022 (annual)","Study in: UK","Course starts Sept 2022"
"CDU Vice-Chancellor’s International High Achievers Scholarships","https://www.scholars4dev.com/11450/cdu-vice-chancellors-international-high-achievers-scholarships/","Charles Darwin University","Bachelors/Masters Degree","30 June 2022 (annual)","Study in: Australia","Course starts Semester 2, 2022"
"University of Birmingham Global Masters Scholarships","https://www.scholars4dev.com/3394/international-postgraduate-scholarships-at-university-of-birmingham/","University of Birmingham","Masters (MS) Degree","30 June 2022 (annual)","Study in: UK","Course starts Sept/Oct 2022"
"Tongarewa Scholarship at Victoria University of Wellington","https://www.scholars4dev.com/25811/tongarewa-scholarship-at-victoria-university-of-wellington/","Victoria University of Wellington","Bachelors/Masters Degree","1 June/1 Sep/30 Nov 2022","Study in: New Zealand","Course starts 2022/23"
"Eira Francis Davies Scholarship at Swansea University","https://www.scholars4dev.com/17801/eira-davies-scholarship-at-swansea-university/","Swansea University","","29 May 2022 (annual)","Study in: UK","Course starts Sept 2022"
"Glasgow International Leadership Scholarships","https://www.scholars4dev.com/22676/glasgow-international-leadership-scholarship/","Glasgow University","Masters Degree","Jan-July 2022 (annual)","Study in: UK","Course starts Sept 2022"
"UEA International Development Full Fees Scholarships","https://www.scholars4dev.com/4772/international-development-scholarships-for-international-students/","University of East Anglia","","31 May 2022 (annual)","Study in: UK","Course starts September 2022"
"UWE Chancellor’s Scholarships for International Students","https://www.scholars4dev.com/10704/uwe-chancellors-scholarships-for-international-students/","University of West England","Masters Degree","31 May 2022 (annual)","Study in: London, UK","Course starts Sept 2022"
"DAAD Scholarships in Germany for Development-Related Postgraduate Courses","https://www.scholars4dev.com/1002/daad-scholarships-for-postgraduate-courses-with-special-relevance-to-developing-countries/","DAAD","","Aug-Oct 2022 (annual)","Study in: Germany","Next course starts AY 2023/2024"
"Université Paris-Saclay International Master’s Scholarships","https://www.scholars4dev.com/15259/universite-paris-saclay-international-masters-scholarships-2/","Université Paris-Saclay","Masters Degree","7 May 2022 (annual)","Study in: France","Course starts Sept 2022"
"Griffith Remarkable Scholarship","https://www.scholars4dev.com/25669/griffith-remarkable-scholarship/","Griifith University","Bachelors/Masters Degree","18 Apr/5 Aug 2022 (Annual)","Study in: Australia","Course starts 2022/23"
"IOE Centenary Masters Scholarships","https://www.scholars4dev.com/10515/ioe-ish-centenary-masters-scholarships-for-international-students/","IOE/ISH","Masters Degree","2 May 2022 (annual)","Study in: London, UK","Course starts Sept/Oct 2022"
"UAL/ISH International Postgraduate Scholarships","https://www.scholars4dev.com/11659/ishual-graduate-scholarships-for-international-students/","University of the Arts London","Masters Degree","13 June/2 Nov 2022 (annual)","Study in: UK","Course starts Sept-Oct 2022/Jan 2023"
"JFUNU Scholarships for PhD in Sustainability Science","https://www.scholars4dev.com/17582/jfunu-scholarships-for-phd-in-sustainability-science/","JFUNU","PhD Degree","28 March 2022 (annual)","Study in: Japan","Course starts September 2022"
"Australia Awards Scholarships","https://www.scholars4dev.com/3253/australia-awards-scholarships/","Australian Government","Bachelors/Masters/PhD Degrees","29 April 2022 (annual)","Study in: Australia","Course starts 2023"
"University of Bologna Study Grants for International Students","https://www.scholars4dev.com/11698/university-of-bologna-study-grants-for-international-students/","University of Bologna","Bachelors/Masters Degree","31 Mar/29 April 2022 (annual)","Study in: Italy","Course starts September 2022"
