10,Utrecht Excellence Scholarships for International Students,https://www.scholars4dev.com/2776/utrecht-excellence-scholarships-for-international-students/,Utrecht University,Masters Degree,31 Jan 2022 (annual),Study in: Netherlands,Next course starts Sept 2022
11,University of Oulu International Scholarships,https://www.scholars4dev.com/25916/university-of-oulu-international-scholarships/,University of Oulu,Bachelor’s/Masters Degree,19 Jan 2022 (Annual),Study in: Finland,Course starts Autumn 2022
12,Holland Scholarship for Non-EEA International Students,https://www.scholars4dev.com/15082/holland-scholarship-for-non-eu-international-students/,Nuffic Netherlands,Bachelors/Masters Degree,1 Feb/1 May 2022 (annual),Study in: Netherlands,Course starts 2022
13,Emile Boutmy Scholarships for Non-EU Students at Sciences Po,https://www.scholars4dev.com/2593/emile-boutmy-scholarships-for-non-eu-students/,Sciences Po,Bachelors/Masters Degree,30 Nov 2021/mid-Feb 2022 (annual),Study in: France,Course starts September 2022
14,Donald A. Wehrung International Student Award,https://www.scholars4dev.com/22316/donald-a-wehrung-international-student-award/,Univ of British Columbia,Bachelor’s Degree,1 Dec 2021 (annual),Study in: Canada,Course starts 2022
15,Reach Oxford Scholarships for Developing Country Students,https://www.scholars4dev.com/3648/reach-oxford-undergraduate-scholarships-for-developing-country-stu,University of Oxford,Undergraduate Degree,15 Oct 2021/Feb 2022 (annual),Study in: UK,Course starts October 2022
18,Transform Together Scholarships for International and European Union (non-UK) Students,https://www.scholars4dev.com/8250/sheffield-hallam-university-scholarships-for-international-student,Sheffield Hallam University,Bachelors/Masters Degree,31 May/1 Nov 2021 (annual),"Study in: Sheffield, UK",Course starts Sept 2021/Jan 2022
19,Karen McKellin International Leader of Tomorrow Award at University of British Columbia,https://www.scholars4dev.com/2333/ilot-scholarships-at-university-of-british-columbia/,University of British Columbia,Bachelor’s Degree,1 Dec 2021 (annual),Study in: Canada,Course starts 2022
20,University of Calgary International Entrance Scholarship,https://www.scholars4dev.com/25834/university-of-calgary-international-entrance-scholarship/,University of Calgary,Bachelors Degree,1 Dec 2021 (Annual),Study in: Canada,Course starts Fall 2022
21,Griffith Remarkable Scholarship,https://www.scholars4dev.com/25669/griffith-remarkable-scholarship/,Griifith University,Bachelors/Masters Degree,6 Aug/3 Dec 2021/18 Apr 2022 (Annual),Study in: Australia,Course starts 2021/22
22,Friedrich Ebert Stiftung Scholarships,https://www.scholars4dev.com/26192/friedrich-ebert-stiftung-scholarships/,Friedrich Ebert Stiftung,Bachelors/Masters/PhD Degree,30 Nov 2021/31 May 2022 (Annual),Study in: Germany,Course starts Winter/Summer 2022
23,The Deutschlandstipendium at German Universities,https://www.scholars4dev.com/25540/the-deutschlandstipendium-at-german-universities/,German Government,Bachelors/Masters Degree,University-dependent (Annual),Study in: Germany,Course starts 2021
26,The Global Excellence Scholarship at the University of Western Australia,https://www.scholars4dev.com/25782/the-global-excellence-scholarship-at-the-university-of-western-au,University of Western Australia,Bachelors/Masters/Graduate Diploma/PhD Degree,23 July 2021 (Annual),Study in: Australia,"Course starts Semester 2, 2021"
27,Tongarewa Scholarship at Victoria University of Wellington,https://www.scholars4dev.com/25811/tongarewa-scholarship-at-victoria-university-of-wellington/,Victoria University of Wellington,Bachelors/Masters Degree,1 June/1 Sep/30 Nov 2021,Study in: New Zealand,Course starts 2021/ 2022
28,The Denys Holland Scholarship at University College London,https://www.scholars4dev.com/15836/the-denys-holland-scholarship-at-university-college-london/,University College London,Bachelors Degree,2 July 2021 (annual),Study in: UK,Course starts Sept 2021
29,International Ambassador Scholarships at University of West London,https://www.scholars4dev.com/8119/international-ambassador-scholarships-university-west-london/,University of West London,Bachelors/Masters Degree,28 March/4 July 2021 (annual),"Study in: London, UK",Course starts June/Sept 2021
